	X	Y	OBJECTID	LocID	API	ConstructNumber	ConstructType	ConstructStatus	LocType	ElevationType	Depth	Latitude	Longitude	CoordsBH_N	CoordsBH_E	UTMZone	FootageNS	Dir_NS	FootageEW	Dir_EW	QtrQtr	Section	Township	TownshipDir	Range	RangeDir	Meridian	County	FORKLIFT_HASH
8551	-110.075841328	40.4570076310001	143403	120868	4301330168	0	Vertical	S	BH			40.457001	-110.07583	4478892.0	578359.0	12.0	1841	FNL	2124.0	FEL	SWNE	26.0	1.0	N	2.0	W	U	7.0	31d9c229902af72e
10689	-110.452036579	40.178585265	145723	124851	4301330075	0	Vertical	PA	BH			40.178579	-110.452025	4447722.0	546653.0	12.0	1895	FNL	1694.0	FEL	SWNE	33.0	3.0	S	5.0	W	U	7.0	d472d8598296b7f4
10696	-110.462571029	40.2308442200001	145731	134020	4301331321	0	Vertical	P	BH			40.230838	-110.46256	4453517.0	545721.0	12.0	1280	FSL	660.0	FWL	SWSW	9.0	3.0	S	5.0	W	U	7.0	0713bcc7019cc683
10699	-110.467849088	40.247337729	145734	137153	4301351609	0	Directional	P	BH			40.247332	-110.467838	4455345.0	545261.0	12.0	1924	FSL	813.0	FEL	NESE	5.0	3.0	S	5.0	W	U	7.0	10e7dd3284559ac0
10700	-110.413034637	40.2242700130001	145735	137882	4301330980	0	Vertical	PA	BH			40.224264	-110.413023	4452814.0	549940.0	12.0	1103	FNL	1352.0	FEL	NWNE	14.0	3.0	S	5.0	W	U	7.0	3f9b932ea0ede621
10707	-110.426646665	40.2519789500001	145742	151945	4301354036	0	Horizontal	APD	BH			40.251972	-110.426636	4455882.0	548762.0	12.0	1600	FNL	135.0	FWL	SWNW	2.0	3.0	S	5.0	W	U	7.0	d6c708a48036e88e
10718	-110.506247619	40.2232997200001	145758	116872	4301330103	0	Vertical	PA	BH			40.223294	-110.506236	4452658.0	542010.0	12.0	1303	FNL	1227.0	FEL	SENE	13.0	3.0	S	6.0	W	U	7.0	2bf298cbc7745e2e
10731	-110.603762328	40.236026526	145778	129790	4301350916	0	Directional	LA	BH			40.23602	-110.603751	4454029.0	533707.0	12.0	1975	FNL	1967.0	FEL	SWNE	7.0	3.0	S	6.0	W	U	7.0	b950fa8de6835b9c
11827	-110.027894655	39.9200390130001	146956	115749	4301331312	0	Vertical	PA	BH			39.920033	-110.027883	4419334.0	583077.0	12.0	757	FNL	2016.0	FEL	NWNE	29.0	10.0	S	17.0	E	S	7.0	cba09d9132795168
12721	-110.006973789	39.9620809670001	147937	135891	4301351928	0	Horizontal	LA	BH			39.962075	-110.006963	4424020.0	584813.0	12.0	1300	FNL	1300.0	FEL	NWNE	9.0	10.0	S	17.0	E	S	7.0	dd0fbf01fc449b42
13867	-110.0153088	40.286706033	149177	115050	4301353399	0		LA	BH			40.2867	-110.015298	4460044.0	583702.0	12.0	330	FNL	1320.0	FEL	N-NE	29.0	2.0	S	1.0	W	U	7.0	0bbdb1cf694617d8
13909	-110.267256041	39.9101220470001	149222	120970	4301330832	0	Vertical	PA	BH			39.910116	-110.267245	4418038.0	562630.0	12.0	901	FSL	557.0	FEL	SESE	30.0	10.0	S	15.0	E	S	7.0	2d8e9d84c1b34f42
14979	-110.371037136	40.001576974	150417	114709	4301332529	0	Vertical	P	BH			40.001571	-110.371026	4428121.0	553688.0	12.0	2023	FSL	681.0	FEL	NESE	31.0	5.0	S	4.0	W	U	7.0	6ad37a6c994d2386
15755	-110.126697961	40.285366174	151278	114934	4301353353	0	Horizontal	P	BH			40.28536	-110.126687	4459796.0	574235.0	12.0	590	FNL	671.0	FEL	NENE	29.0	2.0	S	2.0	W	U	7.0	7a8e559bb4ff5654
15824	-110.163012208	40.278796592	151367	145968	4301353655	0	Horizontal	APD	BH			40.27879	-110.163001	4459037.0	571155.0	12.0	2310	FSL	330.0	FEL	NESE	25.0	2.0	S	3.0	W	U	7.0	c2408738b5b0fc22
15858	-110.365411102	40.2731645630001	151414	129256	4301332923	0	Vertical	P	BH			40.273158	-110.3654	4458269.0	553953.0	12.0	670	FSL	1217.0	FWL	SWSW	29.0	2.0	S	4.0	W	U	7.0	cdf1bd952f94ac39
16150	-110.295390133	40.037045221	151742	131589	4301333216	0	Vertical	P	BH			40.037039	-110.295379	4432106.0	560114.0	12.0	821	FNL	460.0	FEL	NENE	23.0	5.0	S	4.0	W	U	7.0	158997067179613c
16250	-110.393909545	40.0553964860001	151849	127977	4301352549	0		LA	BH			40.05539	-110.393898	4434081.0	551695.0	12.0	672	FSL	1912.0	FEL	SWSE	12.0	5.0	S	5.0	W	U	7.0	30e78be88bba7525
