WellsFile
WellName,API,Operator,OperatorNo,FieldName,Ground_Elev,Kelly_Elev,Floor_Elev,FootageNS,NS,FootageEW,EW,UTM_Surf_N,UTM_Surf_E,Latitude,Longitude,QuarterQuarter,Sec,Township,TownshipDir,Range,RangeDir,PM,CountyName,Dir_Horiz,Dir_Vert,Dir_Direct,Confidential,ConfRelDate,LeaseNumber,LeaseType,SurfaceOwner,AbandonDate,wellstatus,welltype,TotCum_Oil,TotCum_Gas,TotCum_Water,Ind_Tribe,Multi_Lats,OriginalFieldType,UnitName
Flying V 71-2734-22A,43013543350000,"XCL AssetCo, LLC",104873,UNDESIGNATED,,,,1051,S,2331,E,4460322.0,576947.0,40.289852,-110.094727,SWSE,22,2.0,S,2.0,W,U,DUCHESNE,Y,N,N,Yes,,FEE,FEE,FEE,,NEW,OW,,,,,0,EXTENSION,
Flying V 74-2734-22K,43013543430000,"XCL AssetCo, LLC",104873,UNDESIGNATED,,,,1051,S,2131,E,4460323.0,577008.0,40.289856,-110.094002,SWSE,22,2.0,S,2.0,W,U,DUCHESNE,Y,N,N,Yes,,FEE,FEE,FEE,,NEW,OW,,,,,0,EXTENSION,
Murph 67-2221-23O,43013542370000,"XCL AssetCo, LLC",104873,ALTAMONT                 ,,,,1836,S,565,W,4460476.0,568186.0,40.292,-110.197769,NWSW,23,2.0,S,3.0,W,U,DUCHESNE,Y,N,N,Yes,,FEE,FEE,FEE,,DRL,OW,,,,,0,DEVELOPMENT,
Dorie 12-33-23A,43013541430000,"XCL AssetCo, LLC",104873,NORTH MYTON BENCH        ,,,,2434,S,1081,E,4457407.0,564494.0,40.264648,-110.241508,NESE,32,2.0,S,3.0,W,U,DUCHESNE,N,N,Y,Yes,,patented,FEE,FEE,,APD,OW,,,,,0,DEVELOPMENT,
Honor 70-2728-23G,43013541580000,"XCL AssetCo, LLC",104873,ALTAMONT                 ,,,,1015,S,394,E,4460225.0,567897.0,40.289764,-110.201195,SESE,22,2.0,S,3.0,W,U,DUCHESNE,Y,N,N,Yes,,patented,FEE,FEE,,DRL,OW,,,,,0,DEVELOPMENT,
Tuna 68-1918-21S,43013542130000,"XCL AssetCo, LLC",104873,BLUEBELL,,,,258,S,2260,W,4460201.0,581570.0,40.288326,-110.040359,SESW,19,2.0,S,1.0,W,U,DUCHESNE,Y,N,N,Yes,,Multiple Leases,Multiple Leases,FEE,,DRL,OW,,,,,0,DEVELOPMENT,
Olympian 60-3635-23G,43013541130000,"XCL AssetCo, LLC",104873,NORTH MYTON BENCH        ,,,,2450,S,455,W,4457473.0,571406.0,40.264679,-110.160225,LOT3,31,2.0,S,2.0,W,U,DUCHESNE,Y,N,N,Yes,,Private,FEE,FEE,,P,OW,,,,,0,EXTENSION,
Bobby 51-3526-22T,43013541080000,"XCL AssetCo, LLC",104873,NORTH MYTON BENCH        ,5248.0,5278.0,,265,N,1508,W,4456779.0,578150.0,40.257824,-110.081003,LOT3,2,3.0,S,2.0,W,U,DUCHESNE,Y,N,N,No,2022-09-25 00:00:00.000,Multiple Leases,Multiple Leases,FEE,,P,OW,197334.0,168280.0,398864.0,,0,EXTENSION,
Z&T Ute Tribal 14-16,43013313090000,Zinke & Trumbo LTD,102503,BRUNDAGE CANYON          ,6430.0,,,536,S,1977,W,4432477.0,556039.0,40.040662,-110.343109,SESW,16,5.0,S,4.0,W,U,DUCHESNE,N,N,N,No,,14-20-H62-3413,INDIAN,INDIAN,,LA,OW,0.0,0.0,0.0,,0,DEVELOPMENT,
Z&T Ute Tribal 11-19,43013314380000,Zinke & Trumbo LTD,102503,BRUNDAGE CANYON          ,6714.0,,,1859,N,2205,E,4431731.0,553189.0,40.034126,-110.376576,SWNE,19,5.0,S,4.0,W,U,DUCHESNE,N,N,Y,No,,14-20-H62-3528,INDIAN,INDIAN,,LA,OW,0.0,0.0,0.0,,0,DEVELOPMENT,
Carter 1 (WSW),43013114500000,Zion Petroleum Corp,102508,WILDCAT                  ,,6668.0,,660,N,1980,E,4467212.0,527331.0,40.355021,-110.678141,NWNE,33,1.0,S,7.0,W,U,DUCHESNE,N,Y,N,No,,FEE,FEE,FEE,1963-06-04 00:00:00.000,PA,D,0.0,0.0,0.0,,0,WILDCAT,
